id,name,room_type,bed_type,bed,bedrooms,bathrooms,host_id,host_name,street,country,latitude,longitude,price,number_of_reviews,minimum_nights,availability_365
24916356,Porto Gaia Wine's Place,Entire home/apt,Real Bed,,1,1.0,19845527,Enrico & Mariana,"Vila Nova de Gaia, Porto, Portugal",Portugal,41.13615,-8.62662,50.00,12,2,193
24916415,Jomi House Permit 68030/Al,Entire home/apt,Real Bed,,1,1.0,55132573,Vanessa,"Porto, Porto, Portugal",Portugal,41.15158,-8.61443,75.00,40,1,138
24916551,"3 bedroom house close to station, CBD and airport",Entire home/apt,Real Bed,,3,1.0,17085220,Alice,"Beverly Hills, NSW, Australia",Australia,-33.94626,151.08673,151.00,33,2,34
24917020,Dee Why beachside retreat,Entire home/apt,Real Bed,,2,1.0,17088651,Darren,"Dee Why, NSW, Australia",Australia,-33.7546,151.29581,119.00,1,5,218
24917622,"Copacabana-Apto Conjugado-4 pessoas- Posto 2,5",Entire home/apt,Real Bed,,1,1.0,25644407,Vera,"Copacabana, Rio de Janeiro, Brazil",Brazil,-22.965476099031008,-43.17968350439843,250.00,0,1,34
24917821,Chambre privée au coeur de Rosemont,Private room,Real Bed,,1,1.0,132115648,Touria,"Montréal, Québec, Canada",Canada,45.54917,-73.57309,16.00,7,2,61
2493382,The Best point to Enjoy Barcelona,Private room,Real Bed,,1,1.0,3080717,Leonor,"Barcelona, Catalunya, Spain",Spain,41.39332,2.18066,35.00,21,3,342
24938559,Cozy loft in the heart Old Montreal,Entire home/apt,Real Bed,,1,1.0,21615073,Anas,"Montréal, Québec, Canada",Canada,45.50182,-73.55863,101.00,1,2,0
24944774,Quiet bungalow (Rivière des prairies),Private room,Real Bed,,1,1.0,164714644,Jian,"Montréal, Québec, Canada",Canada,45.63219,-73.61068,24.00,2,3,268
24945999,The Porto Concierge - Mosaic Mezzanine,Entire home/apt,Real Bed,,1,1.0,188598816,Philipe,"Porto, Porto, Portugal",Portugal,41.15812,-8.60491,50.00,37,2,330
24948880,"Bright, Cosy 1BR Apt in hip area.",Entire home/apt,Real Bed,,1,1.0,5269198,Hubert,"Hong Kong Island, Hong Kong Island, Hong Kong",Hong Kong,22.28498,114.14157,597.00,5,1,0
24952440,Penthouse da Música for 8,Entire home/apt,Real Bed,,2,2.0,5390269,Branca,"Porto, Porto, Portugal",Portugal,41.15483,-8.62891,300.00,7,1,295
24955954,"Ampla Suíte - Próx. a Barra da Tijuca,Jeunesse a..",Private room,Real Bed,,1,1.0,86742436,Amalia,"Curicica, Rio de Janeiro, Brazil",Brazil,-22.943987570940173,-43.383179178641036,71.00,2,1,364
24960094,"Cozy Studios nice , secure and social area Harbiye",Entire home/apt,Real Bed,,0,1.0,152721241,Stephen,"Şişli, İstanbul, Turkey",Turkey,41.04352,28.98415,264.00,0,1,90
24960259,"Dublex, 4 Room, Terrace, Sunny House at Center",Entire home/apt,Real Bed,,2,2.0,40672033,Kerem,"Kadıköy, İstanbul, Turkey",Turkey,40.98682,29.03738,206.00,4,4,96
24960623,Perfect Sea View,Entire home/apt,Real Bed,,2,1.0,118337275,José,"Vila do Conde, Porto, Portugal",Portugal,41.36072,-8.75701,50.00,7,2,252
24969860,Montréal - Petite Patrie : idéal pour une famille,Entire home/apt,Real Bed,,3,1.0,186855237,Pascale,"Montréal, Québec, Canada",Canada,45.54885,-73.5938,95.00,2,4,99
24970484,Appartement ensoleillé près du marché Jean-Talon,Entire home/apt,Real Bed,,1,1.0,10344088,Alexandra,"Montréal, Québec, Canada",Canada,45.53843,-73.61981,81.00,1,3,0
24972885,Large Luxury Hong Kong Island apartment,Entire home/apt,Real Bed,,5,3.0,54807073,Karen,"Hong Kong Island, Hong Kong Island, Hong Kong",Hong Kong,22.27511,114.1259,3399.00,1,30,267
24981028,Mong Kok double room private toilet near MTR,Private room,Real Bed,,1,1.0,135868257,Mui Heung,"Hong Kong, Kowloon, Hong Kong",Hong Kong,22.32252,114.16968,353.00,11,1,179
24982210,Modest House,Entire home/apt,Real Bed,,3,1.0,160726690,Julian,"Vila Nova de Gaia, Portugal",Portugal,41.13317,-8.599,55.00,30,1,314
24993202,Luxury 2 storey apartment with outdoor dining,Entire home/apt,Real Bed,,1,1.0,188944892,Mike,"Woolloomooloo, NSW, Australia",Australia,-33.8716,151.21914,200.00,4,1,0
24999091,Puamana Resort #20-2,Entire home/apt,Real Bed,,1,2.0,18933763,Catherine,"Lahaina, US, United States",United States,20.85909,-156.66905,285.00,0,1,233
25014628,Vibrant & Trendy Condo in Plateau l Terrasse,Entire home/apt,Real Bed,,1,1.0,156562805,Rachel & Hamza,"Montréal, Québec, Canada",Canada,45.52347,-73.5848,110.00,41,1,119
25034631,Homey looking room across from Concordia Loyola,Private room,Real Bed,,1,1.0,83790158,Diane,"Montréal, Québec, Canada",Canada,45.45644,-73.63988,30.00,0,180,180
25061385,"4 bdrm, 2 bath, 2 living room, kitchen",Entire home/apt,Real Bed,,4,2.0,179470703,Bingning,"Honolulu, HI, United States",United States,21.2946,-157.79939,79.00,4,1,154
25065550,Lanikai La'i Hale with Oceanview 3BD plus Loft/3BA,Entire home/apt,Real Bed,,4,3.0,10496350,Elite,"Kailua, HI, United States",United States,21.3938,-157.71895,800.00,0,1,217
25069056,Luxury 2+1 Apartment,Entire home/apt,Real Bed,,2,1.0,189516806,Arzu,"Beyoğlu, İstanbul, Turkey",Turkey,41.02758,28.97444,285.00,9,1,362
25069374,Casa do Poeta,Entire home/apt,Real Bed,,1,1.0,166541664,Jovita&Alexandra,"Porto, Porto, Portugal",Portugal,41.14843,-8.60613,59.00,27,2,365
25070084,Elegant 1bed in Trendy Le Plateau,Entire home/apt,Real Bed,,0,1.0,189519197,Nikki,"Montréal, Québec, Canada",Canada,45.51285,-73.57488,119.00,58,5,199
